id,image1Text,image2Text,image3Text
ga990121,"Hey, Jon, having a bad hair day?",,Happy now? Don't ever do that again.
ga990123,Soetimes life is perfect.,,"Not MY life, of course. What are you looking at?"
ga990126,click,click,GARFIELD!
ga990128,Bill...Bill...,"""H. Vermin""?","Herman, you really shouldn't give out this address. Hey! I already may be a winner!"
ga990129,,Well? Do something!,No Loitering *I* could have done that!
ga990130,I thought you were after the mouse.,I was.,Then I remembered we had popcorn.
ga990202,SOMEBODY threw away all of my shirts except this one. I * Cats I didn't do it! I swear!,,
ga990203,,Did you see my cheese danish?,Briefly.
ga990205,"Any moment, that phone will ring, Garfield.",RING Ha! And it will be a beautiful woman desiring a date!,"No, I am NOT plagued by unsightly nose hair. So close."
ga990206,I can't stop to visit.,,"Well, I can stop, but I don't want to visit."
ga990208,* RIIING,Hello? I'm back.,He WHAT?!! I'm gone again.
ga990210,The complaints I get about you! I'm surprised you don't have a criminal record!,,I don't want to know... The food's not as bad as they say.
ga990211,"Yes, Mrs. Nostrum?...your clothesline? ...uh.huh?...",Your best sheets? ...your chihuahua? ...I'm terribly sorry. It won't happen again...,I'm nailing your pet door shut. That's a lovely shade of vermilion you're sporting.
ga990212,Mrs. Peebrik wants to know what you did with her little dog.,,"Look up. EEEEEEK!!! Amazing stuff, duct tape."
ga990213,You have terrorized the entire neighborhood this week! I hope you're happy!,And wipe that smile off your face!,Purrrrrrrrrrrrrrrrrrr
ga990216,,It needs something.,Yery funny!
ga990217,WHOCK! ?,,GARFIELD!!!
ga990218,,,That snowman needs to blow his carrot.
ga990219,I've stockpiled a gazillion snowballs to do battle with Garfield.,,"I went with quality, not quantity."
ga990220,pat pat Rats! This is taking too long! And my hands are freezing.,I know! I'll go in and get the ice cream scoop! Good thinking!,"And while you're at it, bring me the melon baller!"
ga990222,"Whew! Okay, let's go outside.",Boys?,YES?
ga990223,"If you are cold, you can use one of my sweaters. Thanks.",,NOT TO START A FIRE! Make up your mind.
ga990224,My new goldfish has vanished.,"What do you suppose happened to it, Garfield? He left you this note.","""I'm going on vabation""? That's supposed to be ""vacation""."
ga990225,"Okay, I got ANOTHER goldfish.","If you're good, I'll let you name him.","How about ""second helping""?"
ga990227,Z,GLUCK GLUCK GLUCK,Z
ga990302,Why can't YOU smile like that?,,*I* haven't been using your toothbrush.
ga990303,I am NOT dull!,,thud
ga990304,I think I'll take a nap.,,I think I'll stay awake.
ga990305,"I'm a complicated guy, Ellen.",Sort of a puzzle.,"Like connect the dots. Poor Ellen, poor, poor, poor Ellen."
ga990306,,HONK,"Scare you, Garfield? No, but I did swallow my teddy bear."
ga990309,Notice when I throw the ball...the dog fetches it.,A cat won't do that.,And why not? Does the word PRIDE ring a bell?
ga990310,Coming up next...,"""Mind Readers"".",I knew that.
ga990312,Taking a look at tomorrow's weather...,The high temperature will be between 40 below zero and 200 above!,This guy's never wrong.
ga990313,Then we place our casserole into the oven and let it bake for 45 minutes.,** hmm hmm hmm *,This part of the program usually gets pretty boring. Anyone know any good jokes?
ga990315,"Good evening, ladies and gentlemen! clap clap clap",,Would you mind applauding a little longer? I only have 37 seconds worth of material.
ga990316,The Amazing Odie will now attempt to read his own mind!,,"Sorry, folks, you can get your money back at the door."
ga990317,,,
ga990318,"Hi, everyone, we're The Puppet Friends!","Will you be our friend? You silly, EVERYONE loves puppet friends!","DEATH TO PUPPETS! Except for that moron in the second row! Yeah, steop closer and say that, punk!"
ga990319,"So the guy says, ""Hey, I thought thet was your face!""","But, I wanna tell you... bzzzz bzzzz bzzzz",I hate these barber conventions.
ga990322,"Inside here, it's warm and cozy.",Out there is tribulation.,HEY! BIG SOCK SALE TODAY! I rest my case.
ga990323,Have you seen Odie? No.,WHUMP!,So NOW what do you have to say? Obviously we're dealing with an inferior adhesive.
ga990324,Hmm hmm *,GAAAH,See what *I* have to endure? Very funny!
ga990325,Wow! Van Gogh cut off his ear for the woman he loved.,,I wonder what I could cut off? How about that last shred of dignity?
ga990326,"Fine, Ellen, don't go out with me!",I don't want your sympathy!,"Unless that work! And he can go even lower, lady."
ga990327,It's cold today.,I'm wearing socks.,Even my sock puppet is wearing a sock.
ga990329,"Garfield, how would you like a nice treat?",Lay it on me!,It's sort of a rap polka thing. Suckered again!
ga990330,I framed a picture of my hero.,"Cyrillys Damian, inventor of the accordion.",Just before his execution. There IS justice in the world.
ga990331,"And now, everyone's favorite polka band...","""The Geek Boys""!",ACCORDION RULES! YESSS! It's the end of the world.
ga990401,"I made out my will, Garfield. Can I have the fridge?",I want to be cremated...,"And have my ashes spread over my accordion. Oh, but we'll be creamting your accordion as well."
ga990402,Will Jon come up with something to do this weekend?,The crowd is on the edge of their seats...,POLKA! Single file...exit to the left.
ga990403,,,"Your shoes are on your knees, Jon."
ga990406,I sleep a lot.,Sometimes I don't know if I'm awake or dreaming.,And then sometimes I get a little hint.
ga990407,"You know, there are times when I honestly feel you don't respect me.",HUHHH,Take now for an instance.
ga990408,"Look, Garfield! A chest hair! Are you sure?","Only REAL men have chest hair...virile, rugged men... I feel thet's just a piece of lint.","OWIEEE Who, it IS a hair."
ga990409,"Garfield, the weekend has officially started!",,"Yup, we are now one minute into the weekend. Wake me when it's over."
ga990410,I'm off to conquer the world!,,Maybe the world is this way. I wouldn't know.
ga990412,This isn't water...,This is COOKING OIL!,So much for sparrow fondue.
ga990413,I'm going to stand motionless in the backyard.,Until lunch.,If you know what I mean. Get back here!
ga990414,"I may look like a cat, but I'm actually a REALLY big sparrow.",,We must do a worm sometime.
ga990415,,CHOMP,Hey! Where's my rubber ducky?!
ga990416,,,"Mrs. Feeney, I may have a clue to the fate of ""Mister Sweetywings""."
ga990417,May I please eat you for lunch?,"No, you may not.",Civilty is overrated.
ga990419,I'm in good mood.,,I wonder if I'm up to something?
ga990420,Starting contest!,,"At each other, you idiot!"
ga990421,That's odd.,Ever have deja vu? No.,That's ood.
ga990422,My future is looking bright!,,CRAMP! CRAMP! Has the future started yet?
ga990423,"Ever hear one of those voices inside you, Garfield?",A voice telling you to do something wild and crazy?...,I'm putting on a kilt! Obeying his inner nerd.
ga990424,Jon isn't speking to me.,I think.,I'm not listening to him.
ga990426,Catch the cat! Catch the cat!,"Say, isn't that a tail?",Catch the tail! Catch the tail! Dogs...you gotta love 'em.
ga990427,Beware Of Dog What's this?,This sign is past its expiration date.,Hi!
ga990428,What a pathetic excuse for a dog!,Grrr,Check that...
ga990430,Beware of Insulting Dog.,I wonder what that means?,"Excuse me, SIR. When is the litter due? Ahhh."
ga990501,Grrrrrrrrrrrrrrrrr,Grrrrr Are you going to bark or what?,"I'll get to it! Okay?! Well, I don't have all day."
ga990503,Jon! I just had a terrible nightmare!,,Although it wasn't nearly as bad as this.
ga990504,,,Did Odie give you my message?
ga990505,"Plain popcorn, no salt, no butter.",Sounds good.,"It'll go great with my plain salt, no butter, no popcorn, and plain butter, no popcorn, no salt."
ga990506,All the food is gone!,,Aand...you were going somehwere with this?
ga990507,"It's a dark and scary night, Garfield.",They say cats can sense when evil is present.,"So, is it? No, but my geek sensor just went wild."
ga990508,I've gotta be me!,,Couldn't you be somebody else?
ga990509,nggghhgghh Z,YAAHH Sounds like the pork,"chop nightmare ""yaahh""."
ga990510,You only date adventurous men?,"Hey, adventure is my middle name!",I once inhaled a cheeseball. On purpose.
ga990511,I can tell how interested a woman is in me by the way she strolls by.,ZOOM,I don't know...she was a little to blurred to tell.
ga990512,"Ellen, know what I'd like to do?",Run over there and sweep you off your feet!,She's nailing herself to the floor. Ouch.
ga990513,"Hello? Yes, this is he...a date?...with me? This friday night?!","Pinch me, I must be dreaming!",AAAARRRGGHH!
ga990514,"Garfield, I'd like you to meet my date.",,"You don't have a date, do you? I'd sure like to meet her, too."
ga990515,Some days everything goes right.,,I read that in a book. The one that gave you the paper cut?
ga990517,"Okay, what's the grin for?","You did something, didn't you?","Was there any property damage or loss of life? Define ""life""."
ga990518,Odie is guarding his dish.,rrrrrrrrrrrr,"And he's darn good at it, too. munch munch rrrrr DOG FOOD"
ga990519,I had that falling dream again.,"You know, the one where I fall?","I woke up before I hit bottom, though. That is one man's opinion."
ga990520,,Okay.,Litter box has been changed. About time.
ga990521,"You know, Mona, I just know you're going to say you'll go out with me.",Know why?,I'm wearing my lucky socks. I guess the choice is out of her hands.
ga990522,*,**,Got a new can opener case!
ga990524,My next guest needs no introduction.,,Psst! You're on! Oh. Anyone for radio?
ga990525,"Hello and welcome to ""Hit Me With A Hammer!""","I'm your host, Twink Winkerman, and tonight we'll OW","Suck it up, Twink, you big baby! Oh yeah?! Baby THIS! OW! Television's finest hour."
ga990527,"And now it's time to play ""Block That Kick!""","Our first contestant is Michael!...ready, Mike? Huh?",BOOF GAAHH THAT'S going to raise a welt.
ga990528,"Welcome to ""Watching Paint Dry Theater"".",,It's a rerun. Don't tell me how it turns out!
ga990531,"Come on, Garfield, let's be honest. Does anything I say ever get through to you?",,"Y'know, I think that mole on your neck is getting bigger."
ga990601,Time to get some household chores done.,BOOT!,Break time.
ga990602,"Remember, kids, pigs are an excellent source of an important nutrient.",Bacon grease.,Occasionally I put the humor aside and do my part for education.
ga990603,Some people aren't lucky in love. Like my aunt Edna.,They never find the right one. She married a hyena.,"But still you hope. Oh sure, he was a lot of laughs..."
ga990604,"I had a date last night, Garfield.",She was a little older than I expected.,"Orpha, this id Jon. I have your teeth. Oh baby, baby."
ga990605,I have two hundred french fries in my mouth!,You're disgusting.,He hates to see me break his record.
ga990607,"Maybe I'll be like you today, Garfield...",Lazy!,Another convert.
ga990608,Life is passing you by.,"Every moment you lie there is another one you'll never have back, you know. That's okay. I won't miss them.",Especially the ones spent staring up your nose.
ga990610,Look at you...,Just LOOK at you!,
ga990611,You're lucky to have me around.,,Luck isn't what it used to be.
ga990612,It takes fewer muscles to smile than to frown!,,And you say I never exercise.
ga990614,,SMACK,Your birthday is coming soon. I know. I marked the calendar.
ga990615,"Would you like a birthday party this year, Garfield? We could invite all of your friends.",,More cake for him.
ga990616,"I remember my 21st birthday, back on the farm...","We played ""Pin the Tail on the Donkey""...with a real donkey!",I can't recall much after that. This explains a lot.
ga990617,You shouldn't worry about turning 21. I had an uncle who lived to be 21. Really?,I remember what he always used to say to me... What was that?,"""Who the heck are you?!"""
ga990618,This is Garfield's birthday present.,He'll never figure out what it is.,Not until I tuen my flashlight on...
ga990619,"Yes, yes, I know it's my birthday.",You don't have to rub it in.,"Then again, perhaps you do."
ga990621,"I feel very up today, Garfield.",Birds are singing. The sun is shining.,And my nose rash is dissipating! I wish YOU'D disspiate.
ga990622,"I love you, Odie.",Always stay the way you are!,Bronze him.
ga990623,Everyone has their breaking point.,Little things that drive them crazy.,bbbbb Like lip flipping.
ga990624,Walking is good exercise.,,But you have to take more than one step. There's always a string attached!
ga990625,I can't believe you ate Dicky bird!,Never again to hear thoe little feet scampering around the cage! Relax.,The little feet might still be in there.
ga990626,I bought dancing shoes!,,The don't seem to work. Maybe there's an on/off switch.
ga990629,"Greetings, old and fat one!","Is the door sagging, or is that you?",You used to be cute. Now I'm precious.
ga990630,"Nermal, what brings you here? I though I'd drop by for a short visit.","So, you've packed on a few pounds, have't xou?","My, my, my...that WAS a short visit!"
ga990701,"Hey, look who I found on the lawn! That's bcause I PUT him there.","I'll leave you two to visit. So, aside from the bigger belly and extra chin, what else is new?","Garfield, do you feel a draft?"
ga990702,"Now, Garfield, Nermal came to visit you...be nice.",Yeah...I thought fat folks were supposed to be jolly.,"Hee, hee, ha, ho, ho, ha, ho."
ga990703,How do you stay so cute?,"It's a gift, chunky...a gift.","What was that flush I heard? I just put Nermal's ""gift"" in layaway."
ga990705,Some people travel the world.,And here I sit with you.,"I feel sorry for them, too."
ga990706,Sit!,,Good boy!
ga990707,Know what drives me nuts?,,"I'm not telling YOU. Oh, come on, I can always use new ideas."
ga990708,There's nothing Jon enjoys more...,Than rubbing my tummy.,If he knows what's good for him.
ga990709,"Garfield, have you ever regretted any of the awful things you've done to me while I'm sleeping?",Yes.,"This isn't one of them, though."
ga990710,,"I'm spending saturday night with a fat, worthless cat!",Tht fat part was uncalled for.
ga990712,"Ah yes, it's good to be back at the ol' diner!","Hi, hon! What can I get you? For starters, a spatula.",My hands are stuck to the counter. Some things never change.
ga990713,Mmm...I love the smells of a diner...,"Irma, what's that smell? Something sizzling on the grill? Naw.",That's chef Tony. I'll be hitchhiking home now.
ga990714,"How about you ham, Irma?",Is it fresh?,Oink Yes. Check.
ga990715,"I'd like a glass of juice, please.","What kind? Orange, sauerkraut, grapefruit or pickle? Uhh...orange.",
ga990717,"This coffee is great, Irma! Thanks, hon. I ground the beans myself.",CLOP CLOP CLOP,Why is she wearing golf shoes? I'd rather not know.
ga990719,,AIIIEEEEEE YAH YAH YAH YAH YAAAAHHHH,"Anything interesting today? Nah, just bills."
ga990720,"The next time I see you two, I expect you to be doing something worthwile.","You know what that means, Odie?",We'll never see Jon again.
ga990721,"I have a real problem with your attitude latey, mister!","That, and your",Short attention span.
ga990722,Do you think your life can have an impact on the world?,Absolutely.,Have you noticed that there are fewer sparrows around here than there used to be?
ga990723,RING,I won't go out with you!,I wonder who that was? Rejected by wrong numbers! SMACK
ga990724,You need to eat a more balanced diet.,Balanced?,You mean as in more than one kind of donut?
ga990726,Pooky's looking a little dirty...what say I run him through the wash?,My teddy bear is NOT dirty!,"Dusty, maybe."
ga990727,"So long, old pal!",Have a safe journey! sniff,Bon voyage! You have no idea how much pressure I'm under.
ga990728,Pooky is in the wash this morning.,You'll just have to find a subsitute for the next hour.,"Uh, Garfield. Shh. Pooky doesn't talk."
ga990729,"Okay, Pooky made it through the wash cycle...I'm adding fabric softener now.",No...this instead.,Conditioner.
ga990730,"Okay, Garfield, here comes Pooky...",All clean and fresh from the dryer!,
ga990731,"There he is, fresh from the dryer and all clean! What do you think?",LICK,Missed a spot.
ga990803,"Gee, I didn't know we had any of those flavored coffees.",,I found your cough drop. sniff
ga990804,"Looky, Garfield! Looky!","Looky, looky, looky, looky, looky, looky, looky, looky, looky, looky, looky, looky, looky, looky, looky,","Hello, doctor? Could you reboove a rubber bouse frub by dose? One ""lloky"" too many."
ga990806,"Mr. Smith, I'm calling to ask permission to marry your daughter.","No, we haven't had a date yet...dad.","That's rather unkind, Mr. Smith. We like to alienate the entire family."
ga990807,CRUNCH CRUNCH CRUNCH,,"Usually you let the seeds grow, and then you eat the plant. I'm not a spatient as I used to be."
ga990809,Many viewers are asking:,"""Can television sink any lower?""",Let's find out! All right!
ga990811,"Sorry, kids, but Binky the Clown isn't feeling well today.",Filling in for him is his brother...Mel the Accountant!,Today we'll be discussing the importance of saving receipts... Sounds funny coming from a guy in a gree wig.
ga990812,"Mr. Smith, you say you can communicate with plants? That's right.","Hello, Mr. Plant, how are you? I am fine, Mr. Smith.",Hey! I saw your lips move! 149 channels to go.
ga990813,A report states television viewing destroys brain cells.,Let me repeat that for our frequent viewers.,TV...duh! I am highly offended.
ga990814,"Hey, handsome, how's your aftershave?",C'mere...come closer...closer...,"Uh...that's close enough, dork boy. Et tu, TV?"
ga990816,Jon says gluttony will kill me.,That was true of my uncle Morty.,He tried to take a papaya from a silverback gorilla.
ga990817,Odie has a personality all his own!,,Nobody else wanted it.
ga990818,I wish you wouldn't attack the mailman.,,"YAAHH!! HELP! HELLLlllp And while I'm at it, I also wish I had a million dollars and a new car."
ga990819,"I warned you about laziness, Garfield.",You can't just lie around all day.,You gotta be alert. Just open the bag.
ga990820,You WOULD like to go to a movie?!,With me?!,"Rats. You had to press it, didn't you?"
ga990821,"IT'S TIME TO GET UP, GARFIELD!","Excellent, Jon! You've never yelled better!",Z
ga990823,"Garfield, we have a mouse problem.","Oh, you can't see them, but they're here.","I can sense it. Cool it, guys."
ga990824,I had a dream that you caught a mouse.,"Sounds silly, doesn't it? Not at all.",I have dreams all the time.
ga990825,"Go, Garfield, go!",All right!,Beat him to the last cookie!
ga990826,"That's it! If I see one more mouse around here, you're grounded!",,"Let me rephrase that. No, no, I LIKE the concept!"
ga990827,"The mice are out of hand, Garfield!",And that upsets me!,"Okay, everybody, group hug! Group hug!"
ga990828,I'm moving out.,You're going to be proud of me!,Much better.
ga990830,Let's think happy thoughts! All right.,,Aren't you thinking happy thoughts? I'm not letting my face know.
ga990831,,"Hi'ya, Odie!",Thanks a lot!
ga990901,,Never help me with the laundry again!,Let's hear it for incompetence.
ga990902,"Here's a double helping of lasagna, Garfield, with a steak o the side.","Why, thank you so much!",And here are your car keys. Thank you so much.
ga990903,I'm ready for my date!,,"Looking forward to it, are you? It's in three weeks!"
ga990904,I just lost my job. I'm here to end it all.,Go ahead. Swat me.,"NO. Oh, you ARE cruel."
ga990906,,,Coffee kicked in.
ga990907,Here's your coffee.,,"Careful, it's hot. Thank you, Dr. Science."
ga990908,I have had two lousy days in a row.,Today HAS to be a good day.,The law of averages is on my side. There's a fly in your coffee.
ga990909,"For health reasons, I've decided to give up coffee.",,"For sanity reasons, I've decided to give up giving up."
ga990910,"C'mon, just one more cup. Nope.",You've had enough.,bzzzzz And just what makes you think that?
ga990911,Hmmm...what do we have here?,Let me guess.,Hot coffee in the lap? The pain!
ga990913,Fausto's Pizza...home of the megacheese pizza.,We got onion...we got pepperoni...we got anchovies...whaddya want?,"Hello? Anybody there? I love you, Fausto."
ga990915,WOOOOOO!,I am guilt!,You stole Jon't lunch! WOOOOOOOooo! The spirit of lunches past.
ga990916,HA! HA! HA! HA!,Elen likes men who are able to laugh at themselves.,HA! HA! HA! HA! I wonder what the normal people are doing?
ga990917,You would love to go out with me?,You say you're thrilled I asked?,I'm practicing. No kidding.
ga990918,"I am a thinking human being, and you are a lowly house pet.",WHAM!,I meant to do that! The thinking human being missed the doorway.
ga990920,I had a busy day.,Same here.,"Except for that ""busy"" part."
ga990921,Huh! Lying around all day...must be nice!,,"...I said, MUST BE NICE! Do you hear me arguing?"
ga990922,"You seem depressed, Garfield.","Back on the farm, we had a cure for that.",We'd go out to the barn and tickle the goats. Touch me and die.
ga990923,,scratch scratch,That was quite burst of activity. I hope nobody got hurt.
ga990925,"What if I did nothing, like you?",,You'd never catch up.
ga990927,Some people think the universe is constantly expanding.,All right!,Room for another donut!
ga990928,SLAP!,Too much happiness!,AHHH!
ga990929,I just finished drawing a moustache on every picture of Jon in the house!,I jusr drew a moustache on my face!,Troublemaker!
ga990930,I'll never forget my days back in school,I'm sure.,"If I had my pants run up the flagpole every day, I'd remember it, too."
ga991001,"My feet were cold, so I put on seven pairs of sicks.",Then I couldn't get my shoes on.,"Then I figured, what do I need with shoes?! I'm going to go play in traffic."
ga991002,"""...and they all lived happily ever after"".",,You notice they didn't have a cat. Is that a shot?
ga991004,I love diners...they're so warm and friendly.,It's nice to come to a place where everybody knows everybody's name.,"HI, hon. And that name is ""hon""."
ga991005,How's your turkey? Great.,How's your fish? Great.,How's your chicken? Poor thing has a fever today. Hold the chicken.
ga991007,"Is the meat loaf good? You'll love it. It's the chef's mother's recipe, rest her soul.",I wonder how she died? Meat loaf's up!,I'm betting she choked on a horn.
ga991008,"For being such good customers, here's a special treat from me! Thanks, Irma!",,This is a scoop of mashed potatoes in a cone. Hand me one of those butter pats.
ga991009,Irma? There's a hair in my chicken salad.,"Nice try, Mister Joker...",Chickens don't have hair. All in favor of leaving...
ga991010,"husband threw a bowl of broccoli florets at me and I ducked, falling facefirst into the french dressing.","Then the woman attacked me, force",feeding me jalapeno peppers and stuffing black olives in my ears while her husband put a cold pewter
ga991012,Meow! What?,Meow! Meow! Meow! Meow!,"Odie, with that thick dog accent, I can't understand a word you're saying."
ga991013,Jon's putting up some new blinds.,Wanna know how I'm doing?,SHOONK No.
ga991014,If Jon's socks are in this drink...,Where is the ice?,My feet are cold. Duh!
ga991015,"I know why you won't go out with me, Ellen.","It's because I don't drive a big, fancy car!",OK...and I'm boring. Are you going to take the car back?
ga991016,"You know, Garfield.",Some people enjoy dressing their pets up in funny outfits.,Believe me. You wouldn't enjoy it.
ga991019,Remember me? Uh...,We went on a date once. We did?,I ran screaming from the room. You'll havr to be more specific.
ga991020,"Hey look, a clown!",Don't you agree that it's rude to comment on the attire of others?,"Make me laugh, clown boy. YOur seltzer bottle, clown boy."
ga991021,"Garfield, that girl is smiling at me! The one picking lettuce out of her teeth?",Time to turn on the cool.,"Whoa, didn't even stay to pay the check."
ga991022,,Chicks dig me.,"Boy, this is uncomfortable. Let's see you walk."
ga991023,We have a new member with us tonight.,My name is Jon Arbuckle.,And I'm wearing a bad suit. We see your pain.
ga991025,"Death, taxes.",and teddy bears.,Three things you can always count on!
ga991026,,,Give me the dog whistle. What dog whistle?
ga991027,"Garfield, I'm depressed.",I could use a hug.,I could use a Lamborghini but you don't hear me whining.
ga991028,Cat hair!,My entire world is covered with cat hair!,Except my toothbrush. Ah! THERE'S my ear groomer!
ga991029,"Actually, Betty, I am deep.","In fact, lately I've been contemplating my mortality.",I'm donating my brain to science. That shouldn't take up too much space on the ol' shelf.
ga991030,"You know, Jon...",Life is filled with myteries.,I wish you hadn't taken the labels off all our canned food. Many myteries indeed.
ga991101,Cats eat mice.,Theyplay catch 'em. They play with 'em...,"AND THEY EAT EM! Not enough catsup in the world, pal."
ga991102,...and that's my pet cat.,,"I have a name, you know!"
ga991103,Food!,GOTCHA! LUNCH TIME!,"In front of the TV, or out on the patio? TV!"
ga991104,"Garfield, these mice are out of hand!",Get tough with them! Understand?! Okay.,The ballet is off! Awwww...
ga991105,"See, Garfield, you are the hunter...the mouse is the prey.",Now what does the hunter do?,Dork Boy
ga991106,,,Servant's entrance. I knew that.
ga991108,"We've sure had some good times, haven'T we, Garfield?",,WELL?! Is this one of them?
ga991109,,,
ga991110,"Check it out, Garfield.",You can tell a lot about a man by his suit.,And his cologne. You're a clown who works in a fish market?
ga991111,"""Dear diary: I am bored.""",,"""The pets, on the other hand..."""
ga991113,"Don't let me keep you from whatever you were doing, Jon!",,"Or to put it another way, get lost!"
ga991116,"New book, Garfield.","It's called ""Normal Pets"".",You're not listed. I shun publicity.
ga991117,"If you gain any more weight, you won't be able to move!",Wow.,A fringe benefit.
ga991118,Breathing?,,Just checking. Appreciate it.
ga991119,Lions are in the cat family.,Lions are great hunters.,"YOU are a disgrace. Careful, I just slaughtered a herd of pickles."
ga991120,You could use some ambition.,,Does that come with fries?
ga991122,We'd like to order a pizza.,That's right. With everything that might conceivably be edible.,They knew it was for you. I'm so proud.
ga991123,Z,,Pizza delivery truck? Three houses down...pepperoni!
ga991124,HONK! HONK!,Bring the pizza to the door! I'm not getting out of my truck!,"Your cat's nuts! Hey, I'm a touchy, feely kinda guy."
ga991126,Yuk! What?,"There's cat hair on my pizza! Hey, no big deal.",And it doesn't appear to be yours. POO! POO!
ga991127,I wish I could be liked and admired.,Or that I had a large sausage pizza.,"Of course, if I had a large sausage pizza, I wouldn't need to be liked and admired."
ga991128,but I come from a long line of successful blood suckers and feel prepared to carry on that fine tradition!,"Sounds impressive, Frank, but I'm currently not accepting applications.",Try the dog in the next room. I believe his right
ga991129,,YEOWWW!,Sometimes you just have to bite something.
ga991201,"Let's play ""Find the Donut!""",,"Some days I hate you. All right, I'll give you a hint."
ga991202,Will you stop staring at my food?!,,STOP IT! Not even a forlorn glance?
ga991203,My name is Stephano. I am very rich and macho. tick tick tick,Anyone want to chat? tick tick tick,Whoa... Nobody can empty a chat room like Stephano.
ga991204,I have places to go and things to do!,I have no place to go and nothing to do.,I'm running late! I'm right on schedule.
ga991206,Ahem.,stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp stomp,"Yes, I'm aware of how many daysit is till Christmas. Well, let's get cracking!"
ga991207,"Pooky, Christmas is coming!",,He's containing his excitement.
ga991208,"Christmas is just around the corner, Odie!",,
ga991210,"""Dear son, happy holidays from the farm. So much has been happening here...""","""The mare had a foal, the sow had a litter, and the chicken had a stroke...""","""...she was sure tasty, though"". I'm starting to enjoy these letters from home."
ga991211,May I borrow three marshmallows? Sure.,,GARFIELD!
ga991213,"Santa Claus isn't stupid, you know!",I'd think twice before sending him that letter about how good you were this year!,Maybe I should take out that part about winning the nobel peace prize. Really?! Can I shake your hand?
ga991215,"No exact change? ...awww, go on through!",On donner! On blitzen!,"We will return to ""Melvin Weederpate, the Toll Booth Guy who Saved Christmas"". This is getting out of hand."
ga991216,"We now return to ""Murray, the Snake who Saved Christmas"". Sssay, Sssanta, how about me guiding the sleight tonight?",STOMP! STOMP! STOMP!,"Uh...we will return to...uh...""Cybil, the Chipmunk who Saved Murray"" in a minute. I wonder who'll"
ga991218,I love the holidays.,And I found the cutest Christmas decorations!,"Now, go stand on on the roof. Guess who's getting a rat in his stocking this year?"
ga991220,,,Okay! OKay! We'll go buy a Christmas tree!
ga991222,"Hello, tree!","Long time, no see!",Hugging th tree again? You're just jealous.
ga991224,,Any sign of him? Not yet.,We ordered pizza.
ga991225,Merry Christmas.,Merry Christmas.,"C'mere, you. Merry Christmas!"
ga991227,"I don't know, Garfield...",I still say someone switched the gift tags. Nonsense.,That flea collar is for you.
ga991229,"No, no, I understand completely, Patti.","Some other new year's eve, perhaps.","She hat to stay home to floss her otter. Trusting soul, or blooming idiot? You make the call."
ga991230,"Beth, sweetie, how'd you like to go out with the one and only MEEE on new year's eve?",,"Ever laugh so hard you choke? Oh, I've hacked up a hairball or two..."
ga991231,Testing: one...two...,BLAAT!,New year's eve sound check. Come closer...
ga000101,A toast: to the new year!,clink,"This does not bode well... It's not a very good sign, either."
ga000103,"Garfield, let's just sit here and think deep thoughts.",,Do monkeys marry? Come back! You're too deep!
ga000104,I take no pleasure in kicking Odie.,BOOT!,"I do, however, enjoy watching him claw at the air on the way down."
ga000105,"Getting a little plump, aren't we? Plump?","Plump, you say?",Put it back. Plump is history.
ga000106,"Garfield, I just had a thought!",,Darn! Slippery little devils.
ga000107,Ellen siad not to call her anymore.,She says it's too expensive.,She says every time I call she rips the phone out the wall. Badda boom.
ga000108,I have a lot of things on my schedule.,Whoa.,All I have on mine is a little ketchup.
ga000110,"What are you doing today, Garfield?","I thought I'd finish my memoirs, and then paint the house.",I sense sarcasm. ...and then it's on to community service.
ga000111,,All I ask is that you move enough so I don't have to dust you.,Work! Work! Work!
ga000113,I had a busy day.,Me too.,Mine was about eight years ago.
ga000114,Cats in the jungle must hunt for every meal.,I used to do that...,Before we put the pizza place on the speed dial.
ga000115,"You know, some cats jump up and romp about the house for no reason at all.",,So... Not in our lifetime.
ga000117,Wouldn't you like to have a cat like me around your house?,,"You do have a cookie jar, don't you?"
ga000118,"And the winner of the ""Bird of the Year"" award is...",Stan the sparrow!,I'll be accepting on Stan's (burp) behalf.
ga000119,"Odie, I want you to go far away.","Far, far away.","One more ""far"" there, pal..."
ga000120,Here's a picture of my grandfather's elbow.,,I see the resemblance.
ga000121,"Why won't you go out with me, Cindy?",You're getting a root canal?,Mind if I tag along? Won't she be suffering enough?
ga000122,I feel like having some fun!,,The feeling is starting to fade. Maybe you're having fun and don't know it.
ga000124,Sigh...another day of toil.,No sense lying around. Better get busy.,These cartoons won't watch themselves.
ga000126,Woof! Woof!,Woof!...Uh...,"Line? ""Woof,"" you idiot! In his defense, it WAS a long speech."
ga000127,And now the farm report.,"Dan, little Nancy Slobo was bitten by a cow today.","The incident occured during a game of ""Slap the Udder"". Cows hate that."
ga000128,We at channel 31 are dedicated to quality programming.,"Informative, educational and responsible, that's us!","We now return to ""World's Ugliest People"". Look at that nose!"
ga000129,"Doctor, what is the difference between cats and dogs?","Well, dogs have a high degree of loyalty.",Where as a cat would turn in its own mother. Only if there's a reward.
ga000131,Friends may come and friends may go...,But a teddy bear is forever.,poit!
ga000201,Where are my sweat pants?,,I don't even want to know where my tee shirt is. Then don't look behind you.
